movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
525989,Без лица (сериал 2011 – ...),7.801,43,292.0,2011,8.2,4648.0,"[игра, реальное ТВ]",[США],,,Face Off
526,Большой куш,8.535,102,210486.0,2000,8.3,583808.0,"[криминал, комедия]","[Великобритания, США]",$10 000 000,73.0,Snatch.
5261,Прах Анджелы,7.702,145,1853.0,1999,7.3,16413.0,[драма],"[США, Ирландия]",$50 000 000,52.0,Angela's Ashes
5262,Хилари и Джеки,7.783,121,484.0,1998,7.4,8588.0,"[драма, биография, музыка]",[Великобритания],$7 000 000,89.0,Hilary and Jackie
5264,Рассекая волны,7.911,153,13879.0,1996,7.9,47422.0,"[драма, мелодрама]","[Дания, Швеция, Франция, Нидерланды, Норвегия, Исландия, Испания]",,87.0,Breaking the Waves
5265,Трансформер – Портрет Ларса фон Триера,6.884,52,103.0,1997,6.1,309.0,[документальный],"[Швеция, Дания]",,,Tranceformer - A Portrait of Lars von Trier
5268,Мушкетер,5.242,104,1927.0,2001,4.7,12705.0,"[боевик, мелодрама, приключения]","[Германия, Люксембург, Великобритания, США]",$40 000 000,11.0,The Musketeer
526812,Охотники за головами,7.541,100,31968.0,2011,7.6,74278.0,"[триллер, криминал]","[Норвегия, Швеция, Дания, Германия]",NOK 30 300 000,92.0,Hodejegerne
5269,Непобедимый,6.373,125,571.0,2001,6.6,3405.0,"[драма, военный]","[Великобритания, Германия, Ирландия, США]",,54.0,Invincible
526938,Мара (видео),3.042,77,122.0,2013,2.9,159.0,"[ужасы, триллер, детектив]","[Швеция, Дания]",$10 000,,Mara
527,День сурка,8.107,101,193717.0,1993,8.1,405039.0,"[фэнтези, мелодрама, комедия]",[США],$14 600 000,96.0,Groundhog Day
5272,Лесной царь,7.015,118,387.0,1996,7.0,1953.0,[драма],"[Франция, Германия, Великобритания]",,89.0,Der Unhold
5273,Шрек 2,7.604,93,95797.0,2004,7.2,296331.0,"[мультфильм, фэнтези, комедия, приключения, семейный]",[США],$150 000 000,88.0,Shrek 2
527304,Молодым без толку,5.92,97,396.0,2010,6.0,2002.0,"[триллер, драма]",[Австралия],,,Wasted on the Young
52732,Ради всего человечества,7.477,80,166.0,1989,8.2,3310.0,"[документальный, история]",[США],,93.0,For All Mankind
5274,Особняк с привидениями,6.173,88,12693.0,2003,4.9,29498.0,"[фэнтези, триллер, комедия, детектив, семейный]",[США],$90 000 000,13.0,The Haunted Mansion
52748,Спастись до рассвета,5.816,84,115.0,2004,5.7,1386.0,"[ужасы, триллер, детектив]",[США],,,Breaking Dawn
5276,Шоу начинается,6.612,91,8349.0,2002,5.5,49899.0,"[боевик, комедия, криминал]","[США, Австралия]",$85 000 000,25.0,Showtime
527655,Супермен/Бэтмен: Апокалипсис (видео),6.777,78,1855.0,2010,7.1,15720.0,"[мультфильм, фантастика, боевик, приключения]",[США],$3 500 000,,Superman/Batman: Apocalypse
52766,Патрик,6.213,96,144.0,1978,6.1,1782.0,"[ужасы, фантастика, триллер]",[Австралия],AUD 400 000,,Patrick
527662,Сумерки. Сага. Рассвет: Часть 2,6.598,115,75408.0,2012,5.5,179554.0,"[фэнтези, драма, мелодрама, приключения]",[США],$120 000 000,49.0,The Twilight Saga: Breaking Dawn - Part 2
5277,Мулан,8.068,84,80766.0,1998,7.5,155682.0,"[мультфильм, мюзикл, приключения, семейный, военный]",[США],$70 000 000,86.0,Mulan
